Round,Theme,Variable,Description,Groups,Countries Covered,,question - do all countries have info for all rounds,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,stfgov ,How satisfied with the national government,Public Satisfaction,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective Wellbeing,stflife,How satisfied with life as a whole,Public Satisfaction,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,stfhlth,State of health services in country nowadays,Healthcare Systems,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,stfedu,State of education in country nowadays,Education,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
1,Politics,lawobey ,The law should always be obeyed,Security,Not Found,,,,,,,
7,Politics,ptcpplt ,Politicians care what people think,Political Trust,"Austria, Belgium, Czechia, Denmark, Estonia, Finland, France, Germany, Hungary, Ireland, Israel, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,trstep,Trust in the European Parliament,Political Trust,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,trstlgl,Trust in the legal system,Political Trust,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,trstplc ,Trust in the police,Political Trust,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,trstplt,Trust in politicians,Political Trust,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,trstprl ,Trust in country's parliament,Political Trust,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,trstprt,Trust in political parties,Political Trust,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,trstun,Trust in the United Nations,Political Trust,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,imsmetn,Allow many/few immigrants of same race/ethnic group as majority,Immigration,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,imdfetn ,Allow many/few immigrants of different race/ethnic group from majority,Immigration,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,impcntr,Allow many/few immigrants from poorer countries outside Europe,Immigration,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,imbgeco,Immigration bad or good for country's economy,Immigration,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,imueclt,Country's cultural life undermined or enriched by immigrants,Immigration,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,imwbcnt,Immigrants make country worse or better place to live,Immigration,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,dosprt,"Do sports or other physical activity, how many of last 7 days",Exercise,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,etfruit,"How often eat fruit, excluding drinking juice",Eating Habbits,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,eatveg,"How often eat vegetables or salad, excluding potatoes",Eating Habbits,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Health and Inequality,cgtsmok,Cigarette smoking behaviour,Unhealthy Habits ,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,alcfreq,How often drink alcohol,Unhealthy Habits ,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,alcwkdy,"Grams alcohol, last time drinking on a weekday, Monday to Thursday",Unhealthy Habits ,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,alcwknd,"Grams alcohol, last time drinking on a weekend day, Friday to Sunday",Unhealthy Habits ,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,alcbnge,"Frequency of binge drinking for men and women, last 12 months",Unhealthy Habits ,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,icgndra,"Interviewer code, gender of respondent",Gender - for comparisons,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,height,Height of respondent (cm),BMI,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Health and Inequality,weighta,Weight of respondent (kg),BMI,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,dshltgp,"Discussed health, last 12 months: general practitioner",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,dshltms,"Discussed health, last 12 months: medical specialist",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,dshltnt,"Discussed health, last 12 months: none of these",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,medtrun,"Unable to get medical consultation or treatment, last 12 months",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,medtrnp,"No medical consultation or treatment, reason: could not pay",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,medtrnt,"No medical consultation or treatment, reason: could not take time off work",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,medtroc,"No medical consultation or treatment, reason: other commitments",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,medtrnl,"No medical consultation or treatment, reason: not available where you live",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,medtrwl,"No medical consultation or treatment, reason: waiting list too long",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,medtrnaa,"No medical consultation or treatment, reason: no appointments available",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,medtroth,"No medical consultation or treatment, reason: other",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,medtrnap,"No medical consultation or treatment, reason: not applicable",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,medtrref,"No medical consultation or treatment, reason: refusal",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,medtrdk,"No medical consultation or treatment, reason: don't know",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,medtrna,"No medical consultation or treatment, reason: no answer",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,medtrnu,"Never unable to get medical consultation or treatment, reason, last 12 months",Healthcare Systems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 7, 11",Health and Inequality,fltdpr,"Felt depressed, how often past week",Emotion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 7, 11",Health and Inequality,wrhpp,"Were happy, how often past week",Emotion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 7, 11",Health and Inequality,fltlnl,"Felt lonely, how often past week",Emotion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 7, 11",Health and Inequality,enjlf,"Enjoyed life, how often past week",Emotion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 7, 11",Health and Inequality,fltsd,"Felt sad, how often past week",Emotion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 7, 11",Health and Inequality,cldgng,"Could not get going, how often past week",Emotion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltprhc,"Health problems, last 12 months: heart or circulation problem",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltprhb,"Health problems, last 12 months: high blood pressure",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltprbp,"Health problems, last 12 months: breathing problems",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltpral,"Health problems, last 12 months: allergies",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltprbn,"Health problems, last 12 months: back or neck pain",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltprpa,"Health problems, last 12 months: muscular or joint pain in hand or arm",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltprpf,"Health problems, last 12 months: muscular or joint pain in foot or leg",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltprsd,"Health problems, last 12 months: stomach or digestion related",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltprsc,"Health problems, last 12 months: skin condition related",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltprsh,"Health problems, last 12 months: severe headaches",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltprdi,"Health problems, last 12 months: diabetes",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltprnt,"Health problems, last 12 months: none of these",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltphhc,"Health problems, hampered, last 12 month: heart or circulation problem",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltphhb,"Health problems, hampered, last 12 month: high blood pressure",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltphbp,"Health problems, hampered, last 12 month: breathing problems",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltphal,"Health problems, hampered, last 12 month: allergies",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltphbn,"Health problems, hampered, last 12 month: back or neck pain",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltphpa,"Health problems, hampered, last 12 month: muscular or joint pain in hand or arm",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltphpf,"Health problems, hampered, last 12 month: muscular or joint pain in foot or leg",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltphsd,"Health problems, hampered, last 12 month: stomach or digestion related",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltphsc,"Health problems, hampered, last 12 month: skin condition related",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltphsh,"Health problems, hampered, last 12 month: severe headaches",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltphdi,"Health problems, hampered, last 12 month: diabetes",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,hltphnt,"Health problems, hampered, last 12 month: none of these",Health Problems,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,cnfpplh,"Serious conflict between people in household when growing up, how often",Socioeconomic Background,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,fnsdfml,"Severe financial difficulties in family when growing up, how often",Socioeconomic Background,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,jbexpvi,"In any job, ever exposed to: vibrations from hand tools or machinery",Socioeconomic Background,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,jbexpti,"In any job, ever exposed to: tiring or painful positions",Socioeconomic Background,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,jbexpml,"In any job, ever exposed to: manually lifting or moving people",Socioeconomic Background,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,jbexpmc,"In any job, ever exposed to: manually carrying or moving heavy loads",Socioeconomic Background,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 11",Health and Inequality,jbexpnt,"In any job, ever exposed to: none of these",Socioeconomic Background,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,impsafe ,Important to live in secure and safe surroundings ,Security,"Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,ipfrule ,Important to do what is told and follow rules ,Security,"Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,ipstrgv ,Important that government is strong and ensures safety ,Security,"Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,ipbhprp ,Important to behave properly ,Cultural and Traditions,"Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,imptrad ,Important to follow traditions and customs ,Cultural and Traditions,"Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
